ID,Typ,Plocha [m²],Sklon [°],Azimut [°],Sluneční hodiny [h/rok],Vhodnost [-],Potenciální výroba [kWh/rok]
Roof_118_186_0,mansard,55.4,47.0,180.0,4007,0.97,11246.9
Roof_15_116_0,gable,521.83,59.6,180.0,4100,0.93,101750.7
Roof_151_68_0,pyramid,167.71,63.4,180.0,4111,0.91,32114.7
Roof_57_108_0,pyramid,275.84,65.0,180.0,4114,0.9,52393.8
Roof_117_-1_0,hip,385.7,76.5,180.0,4258,0.84,67973.4
Roof_111_85_0,sawtooth,56.33,73.5,110.6,3906,0.71,8340.0
Roof_111_85_2,sawtooth,56.33,73.5,110.6,3906,0.71,8340.0
Roof_118_186_3,mansard,47.7,58.1,270.0,3323,0.66,6585.9
Roof_118_186_1,mansard,47.7,58.1,90.0,3384,0.66,6585.8
Roof_117_-1_1,hip,433.01,60.0,90.0,3427,0.66,59710.7
Roof_117_-1_3,hip,433.01,60.0,270.0,3369,0.66,59699.4
Roof_150_0_0,shed,2875.66,60.4,270.0,3378,0.66,396333.6
Roof_111_85_1,sawtooth,61.77,60.9,90.0,3449,0.66,8512.1
Roof_111_85_3,sawtooth,61.77,60.9,90.0,3449,0.66,8512.1
Roof_64_1_0,shed,741.35,70.8,90.0,3771,0.65,100958.7
Roof_151_68_1,pyramid,158.11,71.6,90.0,3789,0.65,21504.6
Roof_151_68_3,pyramid,158.11,71.6,270.0,3741,0.65,21502.5
Roof_57_108_3,pyramid,260.4,73.8,270.0,3816,0.65,35275.8
Roof_57_108_1,pyramid,260.4,73.8,90.0,3858,0.65,35275.4
Roof_15_7_0,butterfly,113.93,80.9,90.0,4090,0.63,15176.7
Roof_15_7_1,butterfly,113.93,80.9,270.0,4082,0.63,15176.6
Roof_16_72_0,solar,600.0,90.0,0.0,4444,0.49,61581.9
Roof_59_73_0,flat,1000.0,90.0,0.0,4444,0.49,102636.5
Roof_124_93_0,solar,1500.0,90.0,0.0,4444,0.49,153954.7
Roof_162_91_0,flat,1500.0,90.0,0.0,4444,0.49,153954.7
Roof_66_177_0,solar,300.0,90.0,0.0,4444,0.49,30790.9
Roof_118_186_4,mansard,54.0,90.0,0.0,4444,0.49,5542.4
Roof_15_116_2,gable,132.11,0.0,90.0,2163,0.44,12274.8
Roof_15_116_3,gable,132.11,0.0,90.0,2163,0.44,12274.8
Roof_117_-1_2,hip,385.7,76.5,0.0,4067,0.44,35751.2
Roof_16_179_0,shed,238.86,70.4,0.0,3636,0.42,20877.4
Roof_57_108_2,pyramid,275.84,65.0,0.0,3357,0.39,22855.4
Roof_151_68_2,pyramid,167.71,63.4,0.0,3283,0.39,13676.5
Roof_118_186_2,mansard,55.4,47.0,0.0,2620,0.33,3819.0
Roof_15_116_1,gable,521.83,-59.6,180.0,1325,0.25,27396.3
